# freq_Hz	asymmetry	error
9.5750000000e+07	-7.4504570641e-01	1.3573896490e-02
9.5762820000e+07	-7.5184618828e-01	1.4478005307e-02
9.5775641000e+07	-7.5700059390e-01	1.2942704809e-02
9.5788461000e+07	-7.7537445101e-01	1.5942344236e-02
9.5801282000e+07	-7.4664706464e-01	1.3065196039e-02
9.5814102000e+07	-7.6899885563e-01	1.3145833179e-02
9.5826923000e+07	-7.5841697223e-01	1.2991590214e-02
9.5839743000e+07	-7.4401712377e-01	1.1998553252e-02
9.5852564000e+07	-7.5030893015e-01	1.2535418104e-02
9.5865384000e+07	-7.4501139421e-01	1.2715955110e-02
9.5878205000e+07	-7.5079381295e-01	1.3669626390e-02
9.5891025000e+07	-7.3505806364e-01	1.2425746630e-02
9.5903846000e+07	-7.3402267608e-01	1.3631983588e-02
9.5916666000e+07	-7.2612602056e-01	1.3395586704e-02
9.5929487000e+07	-6.7146265999e-01	1.2321516004e-02
9.5942307000e+07	-6.9218262774e-01	1.5249092986e-02
9.5955128000e+07	-6.7430898476e-01	1.4709984549e-02
9.5967948000e+07	-6.6831238501e-01	1.2755143507e-02
9.5980769000e+07	-6.5801390778e-01	1.4159022298e-02
9.5993589000e+07	-7.0391486431e-01	9.3670629123e-03
9.6006410000e+07	-7.3095761213e-01	1.2183285326e-02
9.6019230000e+07	-7.0656302068e-01	1.1231179987e-02
9.6032051000e+07	-7.4032913892e-01	1.1810024579e-02
9.6044871000e+07	-7.3817213249e-01	1.3139669282e-02
9.6057692000e+07	-7.7886468606e-01	1.5081796082e-02
9.6070512000e+07	-7.4726236830e-01	1.2602349051e-02
9.6083333000e+07	-7.3432319296e-01	1.3463182857e-02
9.6096153000e+07	-7.6838644697e-01	1.3612231770e-02
9.6108974000e+07	-7.5308025283e-01	1.1169154778e-02
9.6121794000e+07	-7.2431905223e-01	1.3807587951e-02
9.6134615000e+07	-7.3451701763e-01	1.1378776606e-02
9.6147435000e+07	-7.5348481333e-01	1.2332566530e-02
9.6160256000e+07	-7.2882818507e-01	1.3229326866e-02
9.6173076000e+07	-7.4774092087e-01	1.4303665289e-02
9.6185897000e+07	-7.5147483763e-01	1.3218745657e-02
9.6198717000e+07	-7.8160806063e-01	1.3913005155e-02
9.6211538000e+07	-7.5057299329e-01	1.3840301502e-02
9.6224358000e+07	-7.6744967118e-01	1.1700966593e-02
9.6237179000e+07	-7.6303668090e-01	1.2033890567e-02
9.6250000000e+07	-7.4445738275e-01	9.1348569091e-03
9.6262820000e+07	-7.5661274345e-01	1.1649847271e-02
9.6275641000e+07	-7.4428002011e-01	1.3632371695e-02
9.6288461000e+07	-7.4249669726e-01	1.3874494031e-02
9.6301282000e+07	-7.3861971697e-01	1.1145292443e-02
9.6314102000e+07	-7.3902907082e-01	1.3974803558e-02
9.6326923000e+07	-7.3357457341e-01	1.0166772077e-02
9.6339743000e+07	-7.0620766245e-01	1.1202864107e-02
9.6352564000e+07	-7.0250292059e-01	1.1454821505e-02
9.6365384000e+07	-6.9413413217e-01	1.2997921810e-02
9.6378205000e+07	-6.4084951844e-01	1.0828439777e-02
9.6391025000e+07	-6.3267781356e-01	1.0038354153e-02
9.6403846000e+07	-6.5334979447e-01	1.2412359089e-02
9.6416666000e+07	-6.7612738084e-01	1.2857823012e-02
9.6429487000e+07	-6.8530586666e-01	1.4018975999e-02
9.6442307000e+07	-6.9647784855e-01	1.4897123074e-02
9.6455128000e+07	-6.9271404057e-01	1.2414861965e-02
9.6467948000e+07	-7.1673998889e-01	1.2441335413e-02
9.6480769000e+07	-7.3221605827e-01	1.1881313209e-02
9.6493589000e+07	-7.2192599720e-01	1.2958390122e-02
9.6506410000e+07	-7.1512146076e-01	1.3754239897e-02
9.6519230000e+07	-7.0630281446e-01	1.1939299678e-02
9.6532051000e+07	-7.1417915506e-01	1.3773931995e-02
9.6544871000e+07	-7.0959952550e-01	1.1277753270e-02
9.6557692000e+07	-7.3133607820e-01	1.3245918177e-02
9.6570512000e+07	-7.2409303153e-01	1.2976289145e-02
9.6583333000e+07	-7.2768879371e-01	1.2199774045e-02
9.6596153000e+07	-7.5303955950e-01	1.5179317928e-02
9.6608974000e+07	-7.4033069634e-01	1.0989285966e-02
9.6621794000e+07	-7.3170740927e-01	1.1104727393e-02
9.6634615000e+07	-7.4473880312e-01	1.2867864411e-02
9.6647435000e+07	-7.4361410155e-01	8.7747415809e-03
9.6660256000e+07	-7.4231963187e-01	1.1464890902e-02
9.6673076000e+07	-7.6097844482e-01	1.3490298818e-02
9.6685897000e+07	-7.6142500711e-01	1.2083453880e-02
9.6698717000e+07	-7.5630622297e-01	1.5619521079e-02
9.6711538000e+07	-7.4779617132e-01	1.3421507800e-02
9.6724358000e+07	-7.3960084232e-01	1.2866516345e-02
9.6737179000e+07	-7.5177156150e-01	1.2581284449e-02
9.6750000000e+07	-7.4131954340e-01	1.5095441927e-02
