# freq_Hz	asymmetry	error
9.3000000000e+07	-6.7713624846e-01	1.0277930549e-02
9.3011363000e+07	-6.7974082137e-01	1.2473752419e-02
9.3022727000e+07	-6.3449626651e-01	8.9569501278e-03
9.3034090000e+07	-6.6829959985e-01	9.9461059328e-03
9.3045454000e+07	-6.5177775471e-01	9.6759082143e-03
9.3056818000e+07	-6.5692794785e-01	1.0071238562e-02
9.3068181000e+07	-6.9467662749e-01	1.1016662140e-02
9.3079545000e+07	-6.9034592484e-01	9.3881595611e-03
9.3090909000e+07	-6.7249629288e-01	9.6025876456e-03
9.3102272000e+07	-7.0795437017e-01	1.3285182998e-02
9.3113636000e+07	-6.8154683805e-01	8.4907365524e-03
9.3125000000e+07	-6.9335754338e-01	1.0082814766e-02
9.3136363000e+07	-7.1267327515e-01	1.2320798292e-02
9.3147727000e+07	-6.9556416050e-01	1.0580260160e-02
9.3159090000e+07	-7.1614437109e-01	1.1428977202e-02
9.3170454000e+07	-7.0306601746e-01	1.0642120972e-02
9.3181818000e+07	-6.8090402054e-01	8.4548475027e-03
9.3193181000e+07	-6.9850224160e-01	1.0338181414e-02
9.3204545000e+07	-6.7222374053e-01	1.0735178992e-02
9.3215909000e+07	-7.0240127377e-01	1.2251799661e-02
9.3227272000e+07	-7.2395416822e-01	1.0307767761e-02
9.3238636000e+07	-7.1704751492e-01	1.0394032565e-02
9.3250000000e+07	-6.8102658047e-01	8.3436996657e-03
9.3261363000e+07	-6.8333113343e-01	1.0146079956e-02
9.3272727000e+07	-6.9503530006e-01	8.4825845437e-03
9.3284090000e+07	-7.1130640748e-01	1.0217304022e-02
9.3295454000e+07	-6.7960425572e-01	9.4170719207e-03
9.3306818000e+07	-6.8129377940e-01	9.7834445675e-03
9.3318181000e+07	-7.0633626566e-01	1.1875140818e-02
9.3329545000e+07	-7.0054384257e-01	1.1539318013e-02
9.3340909000e+07	-7.0005610073e-01	1.2710026953e-02
9.3352272000e+07	-7.0409751614e-01	1.0809523942e-02
9.3363636000e+07	-6.8773533131e-01	9.6157005768e-03
9.3375000000e+07	-6.8479110842e-01	8.0449259281e-03
9.3386363000e+07	-6.7174500334e-01	1.1080567277e-02
9.3397727000e+07	-7.3108328794e-01	9.6336891983e-03
9.3400000000e+07	-6.7110336305e-01	9.1574372219e-03
9.3409090000e+07	-6.7393103678e-01	1.0786066307e-02
9.3415789000e+07	-7.0050678049e-01	9.5650101052e-03
9.3420454000e+07	-7.2055044078e-01	1.1140396975e-02
9.3431578000e+07	-6.8409230538e-01	1.0700480031e-02
9.3431818000e+07	-6.9641735279e-01	1.2146849287e-02
9.3443181000e+07	-7.0515047929e-01	1.1545432148e-02
9.3447368000e+07	-6.7575800521e-01	9.8724087757e-03
9.3454545000e+07	-7.1399558166e-01	1.0557360245e-02
9.3463157000e+07	-6.8386933245e-01	1.0213354037e-02
9.3465909000e+07	-6.9273453491e-01	1.2046075166e-02
9.3477272000e+07	-6.6282188664e-01	9.9916550297e-03
9.3478947000e+07	-6.8561108253e-01	9.8369929907e-03
9.3488636000e+07	-6.9135767187e-01	9.4135371742e-03
9.3494736000e+07	-6.8298196838e-01	9.5629596503e-03
9.3500000000e+07	-6.9844016029e-01	8.6063946856e-03
9.3510526000e+07	-7.0751891202e-01	1.1350713458e-02
9.3511363000e+07	-6.7201765332e-01	1.3384901133e-02
9.3522727000e+07	-7.0305923888e-01	1.6190667051e-02
9.3526315000e+07	-6.7522381540e-01	1.1358468238e-02
9.3534090000e+07	-6.5812826248e-01	1.3457351440e-02
9.3542105000e+07	-6.5836315333e-01	1.1732177261e-02
9.3545454000e+07	-6.6225253348e-01	1.4239441887e-02
9.3556818000e+07	-6.9706911388e-01	1.5751095406e-02
9.3557894000e+07	-6.7042831715e-01	1.1459270406e-02
9.3568181000e+07	-6.9857821149e-01	1.6108005438e-02
9.3573684000e+07	-6.5005169199e-01	1.0285559052e-02
9.3579545000e+07	-6.7038942507e-01	1.7289392153e-02
9.3589473000e+07	-6.6986706366e-01	1.0013543607e-02
9.3590909000e+07	-7.1095815494e-01	1.5142636083e-02
9.3602272000e+07	-6.9436587360e-01	1.5484723082e-02
9.3605263000e+07	-6.5587098681e-01	1.1465000000e-02
