# freq_Hz	asymmetry	error
9.2300000000e+07	-7.8249059734e-01	1.5791483248e-02
9.2310204000e+07	-8.3105267755e-01	1.4778392664e-02
9.2320408000e+07	-7.9551851420e-01	1.4358106949e-02
9.2330612000e+07	-8.0006483716e-01	1.8235666690e-02
9.2340816000e+07	-7.8632189419e-01	1.2554478512e-02
9.2351020000e+07	-7.9976526533e-01	1.4415163012e-02
9.2361224000e+07	-8.1804135051e-01	1.7235903931e-02
9.2371428000e+07	-7.8247382113e-01	1.4498915478e-02
9.2381632000e+07	-7.8583607781e-01	1.6316841094e-02
9.2391836000e+07	-8.0734730327e-01	1.3057814116e-02
9.2402040000e+07	-8.0956594909e-01	1.5504881865e-02
9.2412244000e+07	-8.0788967658e-01	1.3393445852e-02
9.2422448000e+07	-8.0927946063e-01	1.2691440574e-02
9.2432653000e+07	-8.0328381190e-01	1.4289173984e-02
9.2442857000e+07	-7.7727289687e-01	1.6449489265e-02
9.2453061000e+07	-7.5216833133e-01	1.5256671008e-02
9.2463265000e+07	-7.7477587917e-01	1.2330807187e-02
9.2473469000e+07	-7.4561734395e-01	1.8605990381e-02
9.2483673000e+07	-7.2083045630e-01	1.5264152735e-02
9.2493877000e+07	-7.9177183304e-01	1.5063538412e-02
9.2504081000e+07	-7.3563480289e-01	1.5653160098e-02
9.2514285000e+07	-7.8998935943e-01	1.3433484694e-02
9.2524489000e+07	-7.8405155297e-01	1.4742308066e-02
9.2534693000e+07	-7.9121309533e-01	1.5323325526e-02
9.2544897000e+07	-8.0856799638e-01	1.6337294546e-02
9.2555102000e+07	-8.0265510742e-01	1.2661095170e-02
9.2565306000e+07	-8.3881073697e-01	1.3685265205e-02
9.2575510000e+07	-7.9707593257e-01	1.3389778807e-02
9.2585714000e+07	-8.1801468098e-01	1.6153948418e-02
9.2595918000e+07	-7.9193452610e-01	1.3385422562e-02
9.2606122000e+07	-8.3654546204e-01	1.4996234605e-02
9.2616326000e+07	-8.0520761759e-01	1.2286671959e-02
9.2626530000e+07	-8.1954848081e-01	1.5852057087e-02
9.2636734000e+07	-7.9893598669e-01	1.3916085807e-02
9.2646938000e+07	-8.0577477386e-01	1.3886984868e-02
9.2657142000e+07	-8.0169706674e-01	1.5318124573e-02
9.2667346000e+07	-7.5827273109e-01	1.3308813992e-02
9.2677551000e+07	-7.9842366509e-01	1.5463098839e-02
9.2687755000e+07	-7.3358939904e-01	1.2146896305e-02
9.2697959000e+07	-7.4283826461e-01	1.4071145514e-02
9.2708163000e+07	-6.9475824000e-01	1.5483913437e-02
9.2718367000e+07	-6.9093439901e-01	1.5784440850e-02
9.2728571000e+07	-6.7039293805e-01	1.3058412703e-02
9.2738775000e+07	-6.7961819350e-01	1.3240617072e-02
