# freq_Hz	asymmetry	error
9.3080000000e+07	-7.8503645677e-01	1.2259945283e-02
9.3093793000e+07	-7.9124471514e-01	1.1071622816e-02
9.3107586000e+07	-7.8357490200e-01	1.3069389794e-02
9.3121379000e+07	-7.9518228950e-01	1.2608637712e-02
9.3135172000e+07	-7.8375213385e-01	1.3470683528e-02
9.3148965000e+07	-7.6436264976e-01	1.1107821115e-02
9.3162758000e+07	-7.3537016625e-01	1.1152021198e-02
9.3176551000e+07	-7.4808663408e-01	1.1506448135e-02
9.3190344000e+07	-7.3174820252e-01	1.2206983737e-02
9.3204137000e+07	-7.2795615830e-01	1.2349770295e-02
9.3217931000e+07	-7.4378078012e-01	1.2384055276e-02
9.3231724000e+07	-7.5098619870e-01	1.2831284138e-02
9.3245517000e+07	-7.7053881586e-01	1.4951947196e-02
9.3259310000e+07	-7.8072841321e-01	1.0367447542e-02
9.3273103000e+07	-7.6038647490e-01	1.2619117162e-02
9.3286896000e+07	-7.6777317590e-01	1.3717323213e-02
9.3300689000e+07	-7.5182508184e-01	1.2778657718e-02
9.3314482000e+07	-7.8643039272e-01	1.3656892111e-02
9.3328275000e+07	-7.6447891403e-01	1.0487163398e-02
9.3342068000e+07	-7.6120006864e-01	1.1900403305e-02
9.3355862000e+07	-7.3739750268e-01	1.2883494734e-02
9.3369655000e+07	-7.3805846107e-01	1.3073151241e-02
9.3383448000e+07	-7.3381509379e-01	1.2876772953e-02
9.3397241000e+07	-7.6572373446e-01	1.0177752948e-02
9.3411034000e+07	-7.6147602283e-01	1.3280324131e-02
9.3424827000e+07	-7.6308110477e-01	1.1723958974e-02
9.3438620000e+07	-7.8762775934e-01	1.2855904421e-02
9.3452413000e+07	-7.9816181776e-01	1.4298233535e-02
9.3466206000e+07	-8.0118793777e-01	1.2425044579e-02
9.3480000000e+07	-7.7873999755e-01	9.6967591454e-03
