# freq_Hz	asymmetry	error
9.0400000000e+07	-8.2478095828e-01	2.7899744593e-02
9.0410169000e+07	-8.1285068862e-01	2.7493151428e-02
9.0420338000e+07	-8.4899482522e-01	2.6475188590e-02
9.0430508000e+07	-8.2277623298e-01	2.5668202602e-02
9.0440677000e+07	-8.0770776440e-01	2.9767395662e-02
9.0450847000e+07	-8.7414724392e-01	1.6900089902e-02
9.0461016000e+07	-8.8964079547e-01	2.9719393398e-02
9.0471186000e+07	-8.3350997880e-01	2.6743513111e-02
9.0481355000e+07	-8.5284937020e-01	1.8362682057e-02
9.0491525000e+07	-8.6140343129e-01	2.2867938888e-02
9.0501694000e+07	-8.7056386744e-01	2.2947244269e-02
9.0511864000e+07	-8.4025068417e-01	2.2394881249e-02
9.0522033000e+07	-7.9973810890e-01	2.3442947548e-02
9.0532203000e+07	-8.2071133293e-01	1.8837469051e-02
9.0542372000e+07	-8.2280961939e-01	2.1163608543e-02
9.0552542000e+07	-8.4117700389e-01	2.8629233762e-02
9.0562711000e+07	-8.6859345244e-01	1.9771957253e-02
9.0572881000e+07	-8.8349473911e-01	2.6052894178e-02
9.0583050000e+07	-8.5606250689e-01	2.3578942602e-02
9.0593220000e+07	-8.3854910357e-01	3.1257949298e-02
9.0603389000e+07	-8.7508266505e-01	2.6952335744e-02
9.0613559000e+07	-8.5630397847e-01	2.1563425912e-02
9.0623728000e+07	-8.5953978075e-01	1.9100059060e-02
9.0633898000e+07	-8.1747712334e-01	2.3695949216e-02
9.0644067000e+07	-8.5072652692e-01	2.5093271131e-02
9.0654237000e+07	-8.8473131322e-01	2.3667722378e-02
9.0664406000e+07	-8.2077806017e-01	2.3585813199e-02
9.0674576000e+07	-8.8016426323e-01	2.6176693693e-02
9.0684745000e+07	-8.6708291711e-01	2.5467007844e-02
9.0694915000e+07	-9.3531900396e-01	1.8004153670e-02
9.0705084000e+07	-8.5423025571e-01	2.0089801152e-02
9.0715254000e+07	-8.3900448669e-01	2.2994970478e-02
9.0725423000e+07	-8.3067198304e-01	3.2545491999e-02
9.0735593000e+07	-8.2997196323e-01	1.9805896449e-02
9.0745762000e+07	-9.1569226593e-01	1.7799503919e-02
9.0755932000e+07	-8.4292455255e-01	1.6905453725e-02
9.0766101000e+07	-8.4771427501e-01	2.4117308491e-02
9.0776271000e+07	-8.6262035625e-01	2.2486162287e-02
9.0786440000e+07	-8.6495435931e-01	2.7199077820e-02
9.0796610000e+07	-8.6991445904e-01	1.9570324568e-02
9.0806779000e+07	-8.6684367253e-01	1.8506967153e-02
9.0816949000e+07	-8.2922874743e-01	2.5122132466e-02
9.0827118000e+07	-8.6105109007e-01	2.5509069586e-02
9.0837288000e+07	-8.3474254389e-01	1.9692360547e-02
9.0847457000e+07	-8.3323395141e-01	2.3813038197e-02
9.0857627000e+07	-8.7686659612e-01	1.8298458154e-02
9.0867796000e+07	-8.5554161279e-01	2.2413207720e-02
9.0877966000e+07	-8.7585716341e-01	2.0378656589e-02
9.0888135000e+07	-8.4057877172e-01	1.8032557968e-02
9.0898305000e+07	-8.7873178964e-01	2.1576701493e-02
9.0908474000e+07	-8.3314527884e-01	2.3507701302e-02
9.0918644000e+07	-8.5190252386e-01	1.7811902085e-02
9.0928813000e+07	-8.9079532100e-01	2.6696880008e-02
9.0938983000e+07	-7.9094810150e-01	2.3003003967e-02
9.0949152000e+07	-8.4534864131e-01	2.2634886911e-02
9.0959322000e+07	-8.5995880989e-01	2.2716566180e-02
9.0969491000e+07	-9.0517834600e-01	2.5606064730e-02
9.0979661000e+07	-8.7205216830e-01	2.1828348902e-02
9.0989830000e+07	-8.6720611251e-01	1.7212838487e-02
