# freq_Hz	asymmetry	error
9.7475000000e+07	-8.4144950790e-01	1.7166315484e-02
9.7486842000e+07	-8.2446527476e-01	1.1236208731e-02
9.7498684000e+07	-8.2338521580e-01	1.1952927992e-02
9.7510526000e+07	-8.3084062789e-01	1.2455962420e-02
9.7522368000e+07	-7.7820711723e-01	1.2153149006e-02
9.7534210000e+07	-7.6440427155e-01	1.4281057413e-02
9.7546052000e+07	-6.9473723453e-01	1.1056667975e-02
9.7557894000e+07	-6.0006541043e-01	1.0602342712e-02
9.7569736000e+07	-5.2676873110e-01	1.3444361177e-02
9.7581578000e+07	-4.8914463946e-01	8.2253267104e-03
9.7593421000e+07	-5.1454722019e-01	8.8377487502e-03
9.7605263000e+07	-5.8691157380e-01	1.1053629758e-02
9.7617105000e+07	-6.6745065357e-01	1.3344088520e-02
9.7628947000e+07	-7.6075135121e-01	8.3175058981e-03
9.7640789000e+07	-7.8975519788e-01	1.3447142298e-02
9.7652631000e+07	-8.1020946381e-01	1.0081876050e-02
9.7664473000e+07	-8.3175756042e-01	1.6948054184e-02
9.7676315000e+07	-8.1584783436e-01	1.4784368878e-02
9.7688157000e+07	-8.3894239607e-01	1.4549332829e-02
9.7700000000e+07	-8.3864691595e-01	1.2112731380e-02
9.7730000000e+07	-8.1822050688e-01	1.5946797139e-02
9.7742105000e+07	-8.1439475532e-01	1.5734013588e-02
9.7754210000e+07	-8.4857574825e-01	1.3412151517e-02
9.7766315000e+07	-7.9928527758e-01	1.6043548291e-02
9.7778421000e+07	-7.9019210026e-01	1.4956299564e-02
9.7790526000e+07	-7.4330725256e-01	1.7654423346e-02
9.7802631000e+07	-7.2252284077e-01	1.1679831180e-02
9.7814736000e+07	-6.6911211334e-01	1.4745095096e-02
9.7826842000e+07	-5.7871679891e-01	1.1344440045e-02
9.7838947000e+07	-5.7261934034e-01	1.1087842107e-02
9.7851052000e+07	-5.8544040279e-01	1.8051774043e-02
9.7863157000e+07	-6.9462569205e-01	1.1225304373e-02
9.7875263000e+07	-7.2878512509e-01	8.4101307722e-03
9.7887368000e+07	-7.6387792506e-01	1.5659754012e-02
9.7899473000e+07	-7.8260799872e-01	1.2669057544e-02
9.7911578000e+07	-8.1281649190e-01	1.7644384841e-02
9.7923684000e+07	-8.0903495878e-01	1.5412235915e-02
9.7935789000e+07	-7.7958994780e-01	1.1312943509e-02
9.7947894000e+07	-8.2521012845e-01	1.6437074752e-02
9.7960000000e+07	-8.6984369223e-01	1.2364770959e-02
9.7973389000e+07	-8.1062602695e-01	2.2023481221e-02
9.7986779000e+07	-8.7676113515e-01	2.4074579401e-02
9.8000169000e+07	-8.6539023767e-01	1.4001278570e-02
9.8013559000e+07	-8.6439927156e-01	1.4478982505e-02
9.8026949000e+07	-8.5601290401e-01	1.2742599288e-02
9.8040338000e+07	-8.6780046109e-01	1.5945090100e-02
9.8053728000e+07	-8.7555154043e-01	1.6816211606e-02
9.8067118000e+07	-9.0957965859e-01	1.2074856969e-02
9.8080508000e+07	-9.0280956118e-01	1.4169827787e-02
9.8093898000e+07	-8.5855865181e-01	1.4224655933e-02
9.8107288000e+07	-9.0273036531e-01	1.9251503296e-02
9.8120677000e+07	-8.6089344152e-01	1.7380202419e-02
9.8134067000e+07	-8.5679674408e-01	1.2018463863e-02
9.8147457000e+07	-8.4532896600e-01	1.8063484555e-02
9.8160847000e+07	-8.7434620477e-01	1.9766217011e-02
9.8174237000e+07	-8.7437231946e-01	1.5811522646e-02
9.8187627000e+07	-8.9681508980e-01	1.5309501658e-02
9.8201016000e+07	-8.9012154824e-01	1.2158618234e-02
9.8214406000e+07	-8.4221685087e-01	1.8192373984e-02
9.8227796000e+07	-8.6766139107e-01	1.4726493881e-02
9.8241186000e+07	-8.8854681147e-01	1.3259037808e-02
9.8254576000e+07	-8.6830148974e-01	1.7561139405e-02
9.8267966000e+07	-9.0504336193e-01	1.4614444434e-02
9.8281355000e+07	-8.6194586378e-01	1.6609103887e-02
9.8294745000e+07	-8.6169820282e-01	1.6944008646e-02
9.8308135000e+07	-8.8783567312e-01	1.9816041225e-02
9.8321525000e+07	-8.6918733068e-01	2.0069628145e-02
9.8334915000e+07	-8.8401101734e-01	1.7849253509e-02
9.8348305000e+07	-8.5934755783e-01	2.1288253631e-02
9.8361694000e+07	-8.5754941557e-01	1.9361280905e-02
9.8375084000e+07	-8.4443532587e-01	1.0638695385e-02
9.8388474000e+07	-8.5865848481e-01	1.5195484803e-02
9.8401864000e+07	-8.5614008080e-01	1.5510945906e-02
9.8415254000e+07	-8.5536776844e-01	1.6113178500e-02
9.8428644000e+07	-8.4940181223e-01	2.0562693300e-02
9.8442033000e+07	-8.7501325760e-01	1.8210034906e-02
9.8455423000e+07	-8.7357170244e-01	2.0978447808e-02
9.8468813000e+07	-8.5019708788e-01	1.8423192625e-02
9.8482203000e+07	-8.5792157839e-01	1.7096990522e-02
9.8495593000e+07	-8.8756815860e-01	1.4747437204e-02
9.8508983000e+07	-8.5734048865e-01	1.9489348397e-02
9.8522372000e+07	-8.7799588458e-01	1.8335845785e-02
9.8535762000e+07	-8.7911120861e-01	1.7256215030e-02
9.8549152000e+07	-8.6973535749e-01	1.6079013252e-02
9.8562542000e+07	-8.7105200322e-01	1.7256443678e-02
9.8575932000e+07	-8.8154861717e-01	1.5680943144e-02
9.8589322000e+07	-8.6619619342e-01	1.5102811251e-02
9.8600000000e+07	-8.9345631620e-01	1.1969597308e-02
9.8602711000e+07	-8.7245109687e-01	1.5860610934e-02
9.8613157000e+07	-8.9990236739e-01	1.1623873163e-02
9.8616101000e+07	-8.8892464469e-01	1.9919668012e-02
9.8626315000e+07	-9.0715690442e-01	1.3183318205e-02
9.8629491000e+07	-8.8983846085e-01	1.6134934828e-02
9.8639473000e+07	-9.0171216829e-01	1.6370065338e-02
9.8642881000e+07	-8.9583770564e-01	1.9611929966e-02
9.8652631000e+07	-8.9352082631e-01	1.5482821685e-02
9.8656271000e+07	-8.7746225782e-01	1.3395186504e-02
9.8665789000e+07	-8.8662229880e-01	1.0028045924e-02
9.8669661000e+07	-8.6453348958e-01	1.8379474011e-02
9.8678947000e+07	-8.8295401988e-01	1.8112198017e-02
9.8683050000e+07	-8.8242564944e-01	1.3558112567e-02
9.8692105000e+07	-8.6810751430e-01	1.2670446902e-02
9.8696440000e+07	-8.5718749401e-01	2.5682626974e-02
9.8705263000e+07	-9.0137701817e-01	1.1974026223e-02
9.8709830000e+07	-8.6645527206e-01	1.7226564080e-02
9.8718421000e+07	-8.7483944448e-01	9.3765958782e-03
9.8723220000e+07	-8.4836737468e-01	1.5859739250e-02
9.8731578000e+07	-8.8705534028e-01	7.1910035802e-03
9.8736610000e+07	-8.7481108600e-01	2.3271370382e-02
9.8744736000e+07	-8.9693557667e-01	1.1399615072e-02
9.8750000000e+07	-8.6099545914e-01	1.3211341174e-02
9.8757894000e+07	-8.6920990011e-01	1.1177806262e-02
9.8763157000e+07	-8.5696233591e-01	1.6623972072e-02
9.8771052000e+07	-8.9030153136e-01	1.1089055163e-02
9.8776315000e+07	-8.5414889132e-01	2.2470500454e-02
9.8784210000e+07	-8.6153907171e-01	1.1709150520e-02
9.8789473000e+07	-8.5420037885e-01	1.8473260687e-02
9.8797368000e+07	-8.6431355737e-01	1.0717480802e-02
9.8802631000e+07	-8.6319087255e-01	1.6054796633e-02
9.8810526000e+07	-8.6327108936e-01	1.2697526986e-02
9.8815789000e+07	-8.7296832412e-01	1.6717639707e-02
9.8823684000e+07	-8.7266982195e-01	1.1530620107e-02
9.8828947000e+07	-8.6975465936e-01	1.7861194946e-02
9.8836842000e+07	-9.0071945760e-01	1.5548681882e-02
9.8842105000e+07	-9.0430053113e-01	1.4394900849e-02
9.8850000000e+07	-8.7836460681e-01	1.2755221628e-02
9.8855263000e+07	-8.8366609825e-01	1.8259168357e-02
9.8868421000e+07	-8.9798580937e-01	2.5370459746e-02
9.8881578000e+07	-8.7191025788e-01	1.9283599514e-02
9.8894736000e+07	-8.7573267469e-01	1.5946310637e-02
9.8907894000e+07	-9.0797875245e-01	1.1921470994e-02
9.8921052000e+07	-9.0240678776e-01	1.3086470926e-02
9.8934210000e+07	-9.0391059902e-01	1.2886006063e-02
9.8947368000e+07	-8.8922278047e-01	1.8616887148e-02
9.8960526000e+07	-9.0915605685e-01	1.9767194185e-02
9.8973684000e+07	-8.7558856767e-01	1.7542813089e-02
9.8986842000e+07	-8.8612411131e-01	1.2611629548e-02
9.9000000000e+07	-8.9756328469e-01	1.3293426250e-02
9.9013157000e+07	-8.9837873394e-01	1.3313595254e-02
9.9026315000e+07	-8.8619477996e-01	2.4237454396e-02
9.9039473000e+07	-8.8635616455e-01	1.2426955470e-02
9.9052631000e+07	-9.0957230903e-01	1.9220725842e-02
9.9065789000e+07	-8.8211538844e-01	1.6703390694e-02
9.9078947000e+07	-8.5468300813e-01	2.0997096768e-02
9.9092105000e+07	-8.9712925529e-01	1.6552971842e-02
9.9105263000e+07	-8.5388878504e-01	1.9408635838e-02
9.9118421000e+07	-8.7797679695e-01	2.1051362218e-02
