# freq_Hz	asymmetry	error
9.5000000000e+07	-8.5640487719e-01	1.6225439758e-02
9.5010169000e+07	-8.6001448463e-01	1.8002697310e-02
9.5020338000e+07	-8.4756730156e-01	2.2204944625e-02
9.5030508000e+07	-8.4458537256e-01	1.7829510221e-02
9.5040677000e+07	-8.7081804043e-01	1.0047989758e-02
9.5050847000e+07	-8.3873824564e-01	1.9650410552e-02
9.5061016000e+07	-8.5935221760e-01	1.8343033276e-02
9.5071186000e+07	-8.4102357310e-01	1.3412944675e-02
9.5081355000e+07	-8.6981401897e-01	1.6046439749e-02
9.5091525000e+07	-8.8992907630e-01	1.5477180776e-02
9.5101694000e+07	-8.1066551084e-01	3.7307438488e-02
9.5111864000e+07	-8.5284113103e-01	2.6850037697e-02
9.5122033000e+07	-8.6181782128e-01	1.4068590516e-02
9.5132203000e+07	-8.6261347926e-01	1.7851807996e-02
9.5142372000e+07	-7.7403385894e-01	6.7877406734e-02
9.5152542000e+07	-8.5755131902e-01	2.0617840762e-02
9.5162711000e+07	-8.4736184212e-01	1.8565733602e-02
9.5172881000e+07	-8.6723741956e-01	9.2728249273e-03
9.5183050000e+07	-8.2728318367e-01	2.0857894981e-02
9.5193220000e+07	-7.9776742600e-01	2.4498338044e-02
9.5203389000e+07	-8.5882795911e-01	2.1418641135e-02
9.5213559000e+07	-8.0950574809e-01	3.7710177965e-02
9.5223728000e+07	-8.4989034114e-01	9.1806905737e-03
9.5233898000e+07	-8.4441585972e-01	1.3754336785e-02
9.5244067000e+07	-8.6156835641e-01	2.2660108215e-02
9.5254237000e+07	-8.3809335951e-01	2.5258801932e-02
9.5264406000e+07	-8.5518817215e-01	1.6695263819e-02
9.5274576000e+07	-8.1759652145e-01	3.4799155184e-02
9.5284745000e+07	-8.2500558055e-01	2.3719097283e-02
9.5294915000e+07	-8.5881369870e-01	2.2599794231e-02
9.5305084000e+07	-7.8980564356e-01	4.1051768849e-02
9.5315254000e+07	-8.3366955077e-01	1.2021298149e-02
9.5325423000e+07	-8.5244301158e-01	1.4569952459e-02
9.5335593000e+07	-8.8720307525e-01	1.3836345520e-02
9.5345762000e+07	-8.6818781235e-01	1.9251263174e-02
9.5355932000e+07	-8.1933916802e-01	3.0299759353e-02
9.5366101000e+07	-8.8204349501e-01	1.5904590784e-02
9.5376271000e+07	-8.6022696804e-01	1.6035994369e-02
9.5386440000e+07	-8.4330909582e-01	1.5752882101e-02
9.5396610000e+07	-8.9209831321e-01	2.5296646346e-02
9.5406779000e+07	-8.3966950696e-01	2.3011720948e-02
