# freq_Hz	asymmetry	error
9.5650000000e+07	-7.8184382958e-01	1.1865863282e-02
9.5662244000e+07	-7.7561658701e-01	1.2766133508e-02
9.5674489000e+07	-7.7378732636e-01	1.3279868725e-02
9.5686734000e+07	-7.9658478415e-01	1.2136068928e-02
9.5698979000e+07	-8.1257171685e-01	1.4729405313e-02
9.5711224000e+07	-7.9370834842e-01	1.3747121927e-02
9.5723469000e+07	-7.8278529479e-01	1.3592270402e-02
9.5735714000e+07	-7.7113376546e-01	1.2055240908e-02
9.5747959000e+07	-8.1859020507e-01	1.2490534266e-02
9.5760204000e+07	-7.7908435265e-01	1.3496141686e-02
9.5772448000e+07	-7.8559311987e-01	1.5665395224e-02
9.5784693000e+07	-8.1538045315e-01	1.3061640993e-02
9.5796938000e+07	-7.7308452523e-01	1.1651476133e-02
9.5809183000e+07	-7.8754004357e-01	1.6335040467e-02
9.5821428000e+07	-7.7817180629e-01	1.2832434730e-02
9.5833673000e+07	-7.8396931493e-01	1.3586317065e-02
9.5845918000e+07	-7.7254379947e-01	1.3118938585e-02
9.5858163000e+07	-7.4053849573e-01	1.2051427834e-02
9.5870408000e+07	-7.3571631643e-01	1.1067551884e-02
9.5882653000e+07	-7.4792026973e-01	1.4693548599e-02
9.5894897000e+07	-7.1685295773e-01	1.1129567987e-02
9.5907142000e+07	-7.5706198330e-01	1.3224686397e-02
9.5919387000e+07	-7.7042017646e-01	1.2884517784e-02
9.5931632000e+07	-7.6388596571e-01	1.3297751129e-02
9.5943877000e+07	-7.7595172568e-01	1.3480631668e-02
9.5956122000e+07	-7.9658299558e-01	1.2273220852e-02
9.5968367000e+07	-7.8534168927e-01	1.5545230044e-02
9.5980612000e+07	-7.6950300840e-01	1.4867929471e-02
9.5992857000e+07	-7.7166719011e-01	1.4391318952e-02
9.6005102000e+07	-7.5979098650e-01	1.2352054116e-02
9.6017346000e+07	-7.6151865631e-01	1.1124359061e-02
9.6029591000e+07	-7.1799078550e-01	1.2499152716e-02
9.6041836000e+07	-7.3158217484e-01	1.2400981734e-02
9.6054081000e+07	-7.4083958127e-01	1.3100568799e-02
9.6066326000e+07	-7.6776832829e-01	1.3912232344e-02
9.6078571000e+07	-7.8967040340e-01	1.3223309928e-02
9.6090816000e+07	-8.1161715353e-01	1.2275411812e-02
9.6103061000e+07	-7.9157166487e-01	1.5060641246e-02
9.6115306000e+07	-8.0602826544e-01	1.5017505367e-02
9.6127551000e+07	-7.7241130959e-01	1.3910005120e-02
9.6139795000e+07	-7.8326614067e-01	1.4784656149e-02
9.6152040000e+07	-7.7698165212e-01	1.2827365690e-02
9.6164285000e+07	-7.6393826942e-01	1.2221680305e-02
9.6176530000e+07	-7.8804440088e-01	1.0350750171e-02
9.6188775000e+07	-7.7630991931e-01	1.3784805676e-02
9.6201020000e+07	-7.5763366908e-01	1.0900630741e-02
9.6213265000e+07	-7.7504885837e-01	1.1607331223e-02
9.6225510000e+07	-7.8251290494e-01	1.4060629282e-02
9.6237755000e+07	-7.9178247937e-01	1.4009222544e-02
9.6250000000e+07	-7.7981111485e-01	9.7819242743e-03
9.6262244000e+07	-7.8910916619e-01	9.5141582202e-03
9.6274489000e+07	-7.8539132411e-01	1.2315551731e-02
9.6286734000e+07	-7.4352377463e-01	1.1210995285e-02
9.6298979000e+07	-7.4249936330e-01	1.2193560892e-02
9.6311224000e+07	-7.2127247467e-01	1.1864488996e-02
9.6323469000e+07	-7.1944915570e-01	1.1252872227e-02
9.6335714000e+07	-7.1276694880e-01	1.2323678925e-02
9.6347959000e+07	-7.1319246697e-01	1.2268195497e-02
9.6360204000e+07	-7.6029132885e-01	1.2251584031e-02
9.6372448000e+07	-7.4235428265e-01	1.2559033154e-02
9.6384693000e+07	-7.4582635093e-01	1.0757060893e-02
9.6396938000e+07	-7.3300336588e-01	1.1858351202e-02
9.6409183000e+07	-7.2077702167e-01	1.3106076089e-02
9.6421428000e+07	-7.2084948848e-01	1.1346975323e-02
9.6433673000e+07	-7.4655412326e-01	1.4879040542e-02
9.6445918000e+07	-7.6816618647e-01	1.3696461884e-02
9.6458163000e+07	-7.6749751760e-01	1.2134717517e-02
9.6470408000e+07	-7.8862352637e-01	1.2546233233e-02
9.6482653000e+07	-7.8524082768e-01	1.0265771497e-02
9.6494897000e+07	-7.9564220713e-01	1.1165408798e-02
9.6507142000e+07	-7.8977723480e-01	1.2173731269e-02
9.6519387000e+07	-7.7682549457e-01	1.5017014853e-02
9.6531632000e+07	-7.9851105785e-01	1.2398513753e-02
9.6543877000e+07	-8.0308907438e-01	1.0857727183e-02
9.6556122000e+07	-8.1070707349e-01	9.1046841230e-03
9.6568367000e+07	-8.1173952862e-01	1.2820536339e-02
9.6580612000e+07	-7.9704192268e-01	1.4757862026e-02
9.6592857000e+07	-8.0363749611e-01	1.2026580293e-02
9.6605102000e+07	-7.9862586383e-01	1.3077809096e-02
9.6617346000e+07	-7.7905629995e-01	1.1251758191e-02
9.6629591000e+07	-7.6900127508e-01	8.6967156017e-03
9.6641836000e+07	-7.5476765707e-01	1.2892856058e-02
9.6654081000e+07	-7.5202561494e-01	1.4536304203e-02
9.6666326000e+07	-7.3949040835e-01	1.0986174281e-02
9.6678571000e+07	-7.4306632883e-01	1.1234419059e-02
9.6690816000e+07	-7.7410052354e-01	1.1709663096e-02
9.6703061000e+07	-8.0555611352e-01	1.0625645851e-02
9.6715306000e+07	-7.9317129076e-01	1.3191616471e-02
9.6727551000e+07	-7.8827374255e-01	1.0266966309e-02
9.6739795000e+07	-8.0178648186e-01	9.7147736249e-03
9.6752040000e+07	-7.9817027674e-01	1.0566989101e-02
9.6764285000e+07	-8.1176640530e-01	9.5388851526e-03
9.6776530000e+07	-8.2594659104e-01	1.0397008690e-02
9.6788775000e+07	-7.8833161366e-01	1.1392170234e-02
9.6801020000e+07	-7.9471245278e-01	1.0354403005e-02
9.6813265000e+07	-7.8079039307e-01	1.1210315919e-02
9.6825510000e+07	-7.5315181102e-01	1.2509535887e-02
9.6837755000e+07	-7.7991799030e-01	1.1940164822e-02
9.6850000000e+07	-7.6890129084e-01	1.2291557966e-02
