# freq_Hz	asymmetry	error
9.6870000000e+07	-8.1620746334e-01	1.2237499724e-02
9.6882105000e+07	-8.2605624537e-01	2.2948389575e-02
9.6894210000e+07	-8.0834210484e-01	1.5501387963e-02
9.6906315000e+07	-8.3508295445e-01	2.0095115664e-02
9.6918421000e+07	-8.2271672941e-01	1.4113596958e-02
9.6930526000e+07	-8.1168052773e-01	1.3855249913e-02
9.6942631000e+07	-8.0345407036e-01	1.3629902828e-02
9.6954736000e+07	-8.3724550750e-01	1.6021047684e-02
9.6966842000e+07	-8.1410773174e-01	1.6255538405e-02
9.6978947000e+07	-7.9592150550e-01	1.2605219223e-02
9.6991052000e+07	-7.9514213325e-01	1.2278680920e-02
9.7003157000e+07	-8.1849696367e-01	1.3005426551e-02
9.7015263000e+07	-7.9741119592e-01	1.0782249629e-02
9.7027368000e+07	-8.0915629040e-01	1.4504576861e-02
9.7039473000e+07	-8.3949251101e-01	1.1571391658e-02
9.7051578000e+07	-7.8327071836e-01	1.1440729399e-02
9.7063684000e+07	-8.0782874156e-01	1.6852237366e-02
9.7075789000e+07	-8.0738699535e-01	1.2185280594e-02
9.7087894000e+07	-8.2092183412e-01	2.4845116549e-02
9.7100000000e+07	-7.7385687670e-01	1.0389306354e-02
9.7111578000e+07	-7.3858087329e-01	1.5907835335e-02
9.7123157000e+07	-7.1525353622e-01	1.5417655377e-02
9.7134736000e+07	-6.8789670903e-01	1.4894100048e-02
9.7146315000e+07	-7.2948868093e-01	1.3895485604e-02
9.7157894000e+07	-7.2349414691e-01	1.6442618900e-02
9.7169473000e+07	-7.4159997708e-01	1.4805748340e-02
9.7181052000e+07	-7.6989176078e-01	1.2481992851e-02
9.7192631000e+07	-7.6566439482e-01	1.8979197501e-02
9.7204210000e+07	-7.8811468508e-01	1.1420761789e-02
9.7215789000e+07	-8.0327826636e-01	1.5209614379e-02
9.7227368000e+07	-7.8231815880e-01	1.4081293982e-02
9.7238947000e+07	-7.7419913148e-01	1.0545818321e-02
9.7250526000e+07	-7.8141817240e-01	1.3297900509e-02
9.7262105000e+07	-7.7521086651e-01	1.2500211887e-02
9.7273684000e+07	-7.4657878686e-01	1.5322999763e-02
9.7285263000e+07	-7.7922403425e-01	1.4543504937e-02
9.7296842000e+07	-7.5722484703e-01	1.7779053289e-02
9.7300000000e+07	-6.9116073206e-01	9.4860330670e-03
9.7308421000e+07	-7.2141476985e-01	1.5474730060e-02
9.7311578000e+07	-6.7590840951e-01	1.2098182027e-02
9.7320000000e+07	-7.2506718523e-01	1.0979551942e-02
9.7323157000e+07	-6.9421499984e-01	1.5225920578e-02
9.7334736000e+07	-7.3092149634e-01	1.0740625972e-02
9.7346315000e+07	-7.5592964318e-01	1.0563276732e-02
9.7357894000e+07	-7.7601990028e-01	1.3108959758e-02
9.7369473000e+07	-7.4135874820e-01	8.8752924714e-03
9.7381052000e+07	-7.3824043268e-01	8.5430121969e-03
9.7392631000e+07	-7.0815965966e-01	1.2481685298e-02
9.7404210000e+07	-6.6959187033e-01	1.2493354115e-02
9.7415789000e+07	-6.6432710480e-01	1.2824761499e-02
9.7427368000e+07	-6.3080176471e-01	9.1590417571e-03
9.7438947000e+07	-6.7696146620e-01	9.2291799913e-03
9.7450526000e+07	-7.2031262646e-01	1.2635509035e-02
9.7462105000e+07	-7.1955078657e-01	1.0942152765e-02
9.7473684000e+07	-7.3938290847e-01	1.0564052813e-02
9.7475000000e+07	-7.5234263481e-01	9.9648127760e-03
9.7485263000e+07	-7.5760974964e-01	1.1018750625e-02
9.7489473000e+07	-7.7800797041e-01	1.2432823291e-02
9.7496842000e+07	-7.7678721274e-01	1.3807902540e-02
9.7503947000e+07	-7.9629577561e-01	1.0307508449e-02
9.7508421000e+07	-8.0502584828e-01	1.6247279817e-02
9.7518421000e+07	-7.9471245881e-01	1.2103076952e-02
9.7520000000e+07	-7.8735497649e-01	1.1449059276e-02
9.7532894000e+07	-8.0772095055e-01	1.1330705368e-02
9.7547368000e+07	-8.0576016540e-01	1.3332217438e-02
9.7561842000e+07	-7.9476108393e-01	1.1238136038e-02
9.7576315000e+07	-7.5920024121e-01	1.0982581535e-02
9.7590789000e+07	-7.5645730971e-01	1.5187991265e-02
9.7605263000e+07	-7.0813865910e-01	1.1899711090e-02
9.7619736000e+07	-6.9143628486e-01	1.1247666411e-02
9.7634210000e+07	-7.0796621923e-01	1.2546157758e-02
9.7648684000e+07	-7.2585292929e-01	1.2257603335e-02
9.7663157000e+07	-7.6783791988e-01	1.3594163727e-02
9.7677631000e+07	-7.9942930753e-01	1.2758903828e-02
9.7692105000e+07	-7.9119154315e-01	1.0206618748e-02
9.7706578000e+07	-8.0082756555e-01	1.2025154252e-02
9.7721052000e+07	-8.2679353999e-01	1.0771150888e-02
9.7730000000e+07	-7.9716993043e-01	2.3845743933e-02
9.7735526000e+07	-8.2622810052e-01	1.1002910955e-02
9.7742105000e+07	-7.7561502114e-01	1.4603234025e-02
9.7750000000e+07	-7.9148577791e-01	1.2080797883e-02
9.7754210000e+07	-7.9761773569e-01	1.3633494134e-02
9.7766315000e+07	-8.0828705772e-01	1.3795862424e-02
9.7778421000e+07	-8.0004683489e-01	1.2872937901e-02
9.7790526000e+07	-7.8693941148e-01	1.8948210085e-02
9.7802631000e+07	-8.0557097401e-01	2.3543478897e-02
9.7814736000e+07	-7.8374631320e-01	1.4999599934e-02
9.7826842000e+07	-8.1258855936e-01	1.9722707127e-02
9.7838947000e+07	-8.0672182035e-01	1.6889751543e-02
9.7851052000e+07	-7.9275962597e-01	1.6120739903e-02
9.7863157000e+07	-8.0139172265e-01	1.2659629546e-02
9.7875263000e+07	-7.9795861714e-01	1.4279903349e-02
9.7887368000e+07	-8.0365529108e-01	1.2262486138e-02
9.7899473000e+07	-8.1882970755e-01	1.2737217010e-02
9.7911578000e+07	-8.0303587663e-01	1.2170639893e-02
9.7923684000e+07	-8.2293594070e-01	1.7761651792e-02
9.7935789000e+07	-8.1739709837e-01	1.5526721621e-02
9.7947894000e+07	-8.1412036649e-01	1.1462446453e-02
9.7960000000e+07	-8.2485585383e-01	1.6588524780e-02
