pumping,freq,signal,scan_id
F1=2,17331.569806,0.19603188999999974,22
F1=2,17331.569874,0.2976910200000017,22
F1=2,17331.56989,0.09929905999999744,22
F1=2,17331.569916,0.19909094999999608,22
F1=2,17331.569972,-0.10896242999999593,22
F1=2,17331.57,0.3018217300000062,22
F1=2,17331.570022,-0.10946159000000172,22
F1=2,17331.570057,0.4027847800000038,22
F1=2,17331.570098,0.2024160200000096,22
F1=2,17331.570132,0.10573682000000843,22
F1=2,17331.570191,0.0011398900000006585,22
F1=2,17331.570205,0.09393888000000583,22
F1=2,17331.570221,-0.39312254000000507,22
F1=2,17331.570231,0.3008937300000062,22
F1=2,17331.570303,0.20107771999999888,22
F1=2,17331.570303,0.39708999999999706,22
F1=2,17331.570366,-0.09395089000000091,22
F1=2,17331.570367,0.7993568000000079,22
F1=2,17331.570385,0.20247630999998975,22
F1=2,17331.570445,0.9125386599999956,22
F1=2,17331.570548,0.1981925599999923,22
F1=2,17331.570548,0.5984672500000044,22
F1=2,17331.570577,0.3016428999999958,22
F1=2,17331.570596,0.10097671000001043,22
F1=2,17331.570636,0.699300370000007,22
F1=2,17331.570656,-0.09538672999999506,22
F1=2,17331.570656,0.6993734899999978,22
F1=2,17331.570706,0.7985789600000012,22
F1=2,17331.57072,9.469999997691048e-06,22
F1=2,17331.570725,0.20485535000000654,22
F1=2,17331.570767,0.5024365000000017,22
F1=2,17331.570798,0.09918738000000225,22
F1=2,17331.57087,0.5031995900000047,22
F1=2,17331.570878,-0.19991844999999886,22
F1=2,17331.570916,0.5924361199999973,22
F1=2,17331.570963,-0.09051160000000082,22
F1=2,17331.570964,0.49685539000000134,22
F1=2,17331.570992,-0.10132456000000808,22
F1=2,17331.571068,0.3965965000000037,22
F1=2,17331.571071,0.2951374099999993,22
F1=2,17331.57117,0.29993707999999986,22
F1=2,17331.571178,0.4980824899999965,22
F1=2,17331.571195,0.19287777999999883,22
F1=2,17331.571254,0.2973322400000051,22
F1=2,17331.571255,-0.19706915999999836,22
F1=2,17331.571295,0.30139808000001284,22
F1=2,17331.571345,0.40098961000000033,22
F1=2,17331.571393,0.2902691699999877,22
F1=2,17331.571411,0.7937200500000071,22
F1=2,17331.571483,0.40569336999999245,22
F1=2,17331.571539,0.09211057000000303,22
F1=2,17331.571539,0.3992800900000061,22
F1=2,17331.571567,0.09832340000000503,22
F1=2,17331.571585,0.2953659600000059,22
F1=2,17331.57162,0.5991984899999999,22
F1=2,17331.571675,0.6026546899999992,22
F1=2,17331.571696,0.0963369200000011,22
F1=2,17331.571735,0.7936306800000023,22
F1=2,17331.571798,0.5881212200000099,22
F1=2,17331.571801,0.5008643999999972,22
F1=2,17331.571801,0.7909282300000041,22
F1=2,17331.57181,0.4885774699999979,22
F1=2,17331.571902,0.1935502500000034,22
F1=2,17331.571902,0.6836044300000097,22
F1=2,17331.571984,0.39377605999999715,22
F1=2,17331.572023,0.30593976000000234,22
F1=2,17331.572023,0.3987210400000029,22
F1=2,17331.572084,0.3909598600000105,22
F1=2,17331.572087,0.19742808000000206,22
F1=2,17331.572098,0.7902228600000035,22
F1=2,17331.572144,0.39279083999999453,22
F1=2,17331.572219,-0.002360479999993146,22
F1=2,17331.572219,0.7939941499999975,22
F1=2,17331.572247,0.19622177000000038,22
F1=2,17331.572252,0.49577697000000415,22
F1=2,17331.572331,0.8984929899999884,22
F1=2,17331.572342,0.49626167999999693,22
F1=2,17331.572381,0.4975637199999912,22
F1=2,17331.572428,0.4993001700000017,22
F1=2,17331.572439,0.7001137400000078,22
F1=2,17331.572481,0.7966868699999973,22
F1=2,17331.572538,0.3974138699999948,22
F1=2,17331.572573,0.0012236600000040455,22
F1=2,17331.572573,0.5010453200000018,22
F1=2,17331.572586,0.5982435400000015,22
F1=2,17331.572672,0.29752245000000305,22
F1=2,17331.572672,0.3017898799999964,22
F1=2,17331.572739,0.3980064900000047,22
F1=2,17331.572793,0.49578388000000373,22
F1=2,17331.572795,0.6005153499999998,22
F1=2,17331.572817,0.5012965200000049,22
F1=2,17331.572852,0.604556429999994,22
F1=2,17331.572878,0.19648468000000371,22
F1=2,17331.572909,-0.19930140000000926,22
F1=2,17331.572972,-0.20055609000000085,22
F1=2,17331.57303,0.1960259499999987,22
F1=2,17331.57303,0.4900329600000012,22
F1=2,17331.573076,0.3980726600000022,22
F1=2,17331.573144,-0.003258670000001942,22
F1=2,17331.573144,0.30607022000000766,22
F1=2,17331.573179,1.093133690000004,22
F1=2,17331.573223,0.19221976000000368,22
F1=2,17331.573223,0.5944134499999988,22
F1=2,17331.573263,0.496909870000005,22
F1=2,17331.573266,-0.09372858999999978,22
F1=2,17331.573378,0.49912287999999577,22
F1=2,17331.573387,0.788801900000001,22
F1=2,17331.573453,-0.09850903000000401,22
F1=2,17331.573453,3.290000007112326e-06,22
F1=2,17331.573466,0.4061416200000017,22
F1=2,17331.573467,1.0022420999999968,22
F1=2,17331.573473,0.5953631399999982,22
F1=2,17331.57355,0.3997656599999959,22
F1=2,17331.57355,0.7036654899999969,22
F1=2,17331.573556,0.3030951900000033,22
F1=2,17331.573635,0.8951318500000001,22
F1=2,17331.57371,0.5967478799999978,22
F1=2,17331.57371,0.6935226199999984,22
F1=2,17331.573726,0.8986239399999916,22
F1=2,17331.573769,0.8947463099999935,22
F1=2,17331.573794,0.8929375000000066,22
F1=2,17331.573878,0.29956952000001413,22
F1=2,17331.573953,0.1982302999999983,22
F1=2,17331.573953,1.1043395300000034,22
F1=2,17331.573979,0.304589840000006,22
