# freq_Hz	asymmetry	error
9.2270000000e+07	-7.6871981027e-01	1.9293523493e-02
9.2280204000e+07	-7.7965697072e-01	1.9425388817e-02
9.2290408000e+07	-7.7331620953e-01	1.7738548025e-02
9.2300612000e+07	-7.5759736385e-01	1.8184092266e-02
9.2310816000e+07	-7.4825229211e-01	1.7410859898e-02
9.2321020000e+07	-7.2185188934e-01	1.7253347942e-02
9.2331224000e+07	-7.5025989843e-01	1.8171324259e-02
9.2341428000e+07	-7.1681431431e-01	2.0399756484e-02
9.2351632000e+07	-6.9369322884e-01	1.3053188704e-02
9.2361836000e+07	-6.8890619854e-01	1.7240000179e-02
9.2372040000e+07	-7.2608458273e-01	2.1482352112e-02
9.2382244000e+07	-6.9174848325e-01	1.5628340417e-02
9.2392448000e+07	-7.0779790058e-01	1.8286022461e-02
9.2402653000e+07	-7.0434771721e-01	1.9304877763e-02
9.2412857000e+07	-7.4853026042e-01	1.4826122782e-02
9.2423061000e+07	-7.9626667981e-01	1.7546808486e-02
9.2433265000e+07	-7.5539975462e-01	1.5189606209e-02
9.2443469000e+07	-7.6427856229e-01	1.7828099263e-02
9.2453673000e+07	-7.8011396236e-01	2.1803255639e-02
9.2463877000e+07	-7.5185854302e-01	1.6018094716e-02
9.2474081000e+07	-7.6620901162e-01	1.2772492886e-02
9.2484285000e+07	-7.8922835748e-01	1.5980216023e-02
9.2494489000e+07	-7.4030621302e-01	1.9697161273e-02
9.2504693000e+07	-7.5724577587e-01	1.9662144580e-02
9.2514897000e+07	-7.3114324782e-01	1.6639664173e-02
9.2525102000e+07	-7.8524038835e-01	2.2906725093e-02
9.2535306000e+07	-7.6276430157e-01	2.1093174962e-02
9.2545510000e+07	-7.6140006893e-01	2.1473142706e-02
9.2555714000e+07	-7.6184686164e-01	1.8630545307e-02
9.2565918000e+07	-7.6886315801e-01	1.6996232576e-02
9.2576122000e+07	-7.7407992414e-01	1.9388020431e-02
9.2586326000e+07	-7.8862620423e-01	2.2124823720e-02
9.2596530000e+07	-7.8960979611e-01	1.5002773655e-02
9.2606734000e+07	-7.8759089768e-01	1.5372328682e-02
9.2616938000e+07	-7.5733289190e-01	1.9276588781e-02
9.2627142000e+07	-7.7772963976e-01	1.8943469887e-02
9.2637346000e+07	-7.6532203762e-01	1.6247174468e-02
9.2647551000e+07	-7.9243404269e-01	1.7747855798e-02
9.2657755000e+07	-7.7803345786e-01	1.8793499515e-02
9.2667959000e+07	-7.2515875230e-01	1.9078205151e-02
9.2678163000e+07	-7.2386034325e-01	2.0273729471e-02
9.2680000000e+07	-7.8094286043e-01	1.5767819649e-02
9.2688367000e+07	-7.2524181458e-01	2.1016261413e-02
9.2690204000e+07	-7.7656063787e-01	1.7935896948e-02
9.2698571000e+07	-7.1194584946e-01	1.5148621867e-02
9.2700408000e+07	-7.0866360697e-01	1.2229953247e-02
9.2708775000e+07	-7.0586522303e-01	1.9808246157e-02
9.2710612000e+07	-7.2134135448e-01	1.3537914888e-02
9.2718979000e+07	-6.8132836250e-01	1.9497605637e-02
9.2720816000e+07	-7.4731903997e-01	1.6624875116e-02
9.2729183000e+07	-7.0215506939e-01	1.8977490610e-02
9.2731020000e+07	-7.4339669862e-01	1.4804980818e-02
9.2739387000e+07	-7.1670190779e-01	2.0974029838e-02
9.2741224000e+07	-7.4634515283e-01	1.5459165997e-02
9.2749591000e+07	-7.0580873732e-01	1.8595482828e-02
9.2751428000e+07	-7.3580513472e-01	1.7449739604e-02
9.2759795000e+07	-7.1644878683e-01	1.4016709586e-02
9.2761632000e+07	-7.6951748039e-01	1.6565362961e-02
9.2770000000e+07	-7.6186292128e-01	1.9648754926e-02
9.2771836000e+07	-7.8782363664e-01	1.7780410214e-02
9.2782040000e+07	-8.1069904841e-01	1.5668748199e-02
9.2792244000e+07	-8.0420199500e-01	1.6071200470e-02
9.2802448000e+07	-7.6227085286e-01	1.4555196730e-02
9.2812653000e+07	-7.5646467901e-01	1.6026856719e-02
9.2822857000e+07	-7.5576170535e-01	1.5523465528e-02
9.2833061000e+07	-6.9919734349e-01	1.8528183607e-02
9.2843265000e+07	-6.9046213892e-01	1.5922224664e-02
9.2853469000e+07	-6.6984723447e-01	1.6157319815e-02
