pumping,freq,signal,scan_id
F1=2_200Vcm,17331.554984,0.3468301083333345,9
F1=2_200Vcm,17331.55508633333,0.0017518799999982804,9
F1=2_200Vcm,17331.55519366667,0.051203683333334846,9
F1=2_200Vcm,17331.555276166666,0.09861534666666792,9
F1=2_200Vcm,17331.5553945,0.08393588000000268,9
F1=2_200Vcm,17331.555509333335,0.08371445666666814,9
F1=2_200Vcm,17331.555613500004,-0.09929242833333542,9
F1=2_200Vcm,17331.555705333332,0.21510522833333476,9
F1=2_200Vcm,17331.555797333334,0.01882080666666937,9
F1=2_200Vcm,17331.555891333333,0.030830339999996324,9
F1=2_200Vcm,17331.555968999997,0.1948663066666653,9
F1=2_200Vcm,17331.556080833332,-0.23128771499999828,9
F1=2_200Vcm,17331.556188,0.03193859499999888,9
F1=2_200Vcm,17331.5562905,0.11741041000000052,9
F1=2_200Vcm,17331.556386,0.2985118633333339,9
F1=2_200Vcm,17331.556502666666,0.20090094666666694,9
F1=2_200Vcm,17331.55662533333,0.20243568499999826,9
F1=2_200Vcm,17331.5566975,0.43101464333333445,9
F1=2_200Vcm,17331.556796499997,0.2671257483333301,9
F1=2_200Vcm,17331.556915333334,0.21881952833333174,9
F1=2_200Vcm,17331.557026333332,0.28221011000000007,9
F1=2_200Vcm,17331.5571045,0.4826089616666666,9
F1=2_200Vcm,17331.55716566667,0.06677259833333601,9
F1=2_200Vcm,17331.557278166667,0.03620444500000391,9
F1=2_200Vcm,17331.557396,0.2672533599999982,9
F1=2_200Vcm,17331.557488833336,0.0490677733333288,9
F1=2_200Vcm,17331.557592,0.1340214749999987,9
F1=2_200Vcm,17331.5577105,0.11506939999999953,9
F1=2_200Vcm,17331.55783083333,0.2157217483333332,9
F1=2_200Vcm,17331.55795583333,0.14733842666666683,9
F1=2_200Vcm,17331.5580595,0.18298086500000285,9
F1=2_200Vcm,17331.558137666667,0.14819521000000133,9
F1=2_200Vcm,17331.558226333334,0.3339580250000002,9
F1=2_200Vcm,17331.558323166664,0.3807711683333346,9
F1=2_200Vcm,17331.55845283333,0.3985349299999971,9
F1=2_200Vcm,17331.558542666666,0.5130398250000007,9
F1=2_200Vcm,17331.558668166665,0.4625492999999978,9
F1=2_200Vcm,17331.558831833332,0.315235321666666,9
F1=2_200Vcm,17331.558880333334,0.4155117933333343,9
